	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm17018	5.62677744370927E-22	-0.400502354964638	0.157	0.262	9.61785068453226E-18
Map2k3	6.19023122571577E-20	-0.400804692200403	0.167	0.265	1.0580962234116E-15
Urod	3.03318529971684E-11	-0.400946444589168	0.231	0.277	5.184623632806E-07
Med10	6.56137080425222E-12	-0.400948887823743	0.212	0.264	1.12153511157083E-07
Phax	2.00821115848759E-12	-0.401431213406342	0.221	0.275	3.43263533320284E-08
Asnsd1	5.41817366183139E-18	-0.401448611811176	0.192	0.277	9.2612842401684E-14
Ptbp1	5.34337710793495E-11	-0.401708898623911	0.374	0.378	9.13343449059321E-07
Pepd	1.28695276596522E-15	-0.401872371749919	0.18	0.257	2.19978836286436E-11
Mapk1	4.31614678452208E-10	-0.40206647963037	0.235	0.274	7.37758969878359E-06
Npepl1	3.02980617862901E-18	-0.402754132991433	0.169	0.259	5.17884770113056E-14
Sf3a3	4.92047099771809E-17	-0.402976485073999	0.199	0.278	8.41056107639953E-13
Rab10	3.31591666904969E-14	-0.403998313498078	0.33	0.361	5.66789636240664E-10
Hnrnpul2	8.97112812292561E-08	-0.4043495076932	0.286	0.3	0.001533434930052
Klf3	1.60906062133191E-07	-0.404610242005254	0.263	0.284	0.002750367320043
U2af1l4	4.72867001436259E-15	-0.405467972105064	0.19	0.259	8.08271565554998E-11
Dnpep	6.47838498110305E-14	-0.405542398138959	0.281	0.328	1.10735034481994E-09
Ccz1	1.7211684188914E-19	-0.405587036537292	0.175	0.269	2.94199317841107E-15
Sec62	1.03223745327782E-14	-0.406033251428306	0.728	0.602	1.76440347888778E-10
Gnpnat1	3.11200335711942E-09	-0.406961741390362	0.305	0.32	5.31934733832423E-05
Ppp4r2	3.42827881500463E-13	-0.406969605106648	0.202	0.266	5.85995697848741E-09
Plscr1	3.0569271487404E-14	-0.407091730521881	0.18	0.253	5.22520557534196E-10
Nadk2	3.59696119763518E-19	-0.407443240581708	0.167	0.261	6.14828577511782E-15
Brd7	3.59465192847632E-14	-0.40746737339673	0.197	0.264	6.14433854134457E-10
Ncbp2	9.20261859345994E-19	-0.40773133221599	0.18	0.27	1.57300359618011E-14
Egln2	2.97549893901746E-12	-0.407731354131708	0.265	0.307	5.08602033646255E-08
Ei24	4.40865904362332E-10	-0.407768031022056	0.326	0.337	7.53572090326535E-06
B230219D22Rik	2.30357010750139E-11	-0.407981342397908	0.237	0.283	3.93749238475213E-07
Cds1	3.33930553131625E-29	-0.408126250311609	0.122	0.258	5.70787494467886E-25
Stx7	1.0721369127682E-15	-0.408519451929747	0.186	0.26	1.83260362499468E-11
Nsfl1c	4.92149838312092E-13	-0.408528586341661	0.22	0.276	8.41231718626859E-09
Polr2g	2.74087642476464E-14	-0.408795174655273	0.225	0.286	4.6849800728502E-10
Pole4	7.18360534555401E-14	-0.408870476226857	0.236	0.291	1.22789366171555E-09
Med30	6.04781141828341E-19	-0.409025390926888	0.162	0.253	1.03375240572718E-14
Nsun2	1.33317132167015E-14	-0.409292675423677	0.245	0.303	2.27878974013079E-10
Lgals3bp	2.25225318594363E-07	-0.409330000062594	0.218	0.25	0.003849776370733
Ak6	3.58643488293603E-17	-0.409455708268338	0.208	0.285	6.13029314540255E-13
Med21	6.29479517951896E-19	-0.410011791809803	0.207	0.292	1.07596934003518E-14
Dcps	2.19920836753332E-19	-0.410447101734364	0.186	0.275	3.75910686262471E-15
Pih1d1	4.86389712935994E-21	-0.411467751356082	0.19	0.287	8.31385936321494E-17
Vrk3	6.87332195517675E-17	-0.411597769488021	0.18	0.26	1.17485692179836E-12
Ufsp2	2.75835594133909E-16	-0.411680203650868	0.221	0.294	4.71485781053091E-12
Cul3	1.75242738783697E-10	-0.411882957518266	0.228	0.271	2.99542413402973E-06
Aph1a	2.48931188386429E-16	-0.411917986194493	0.19	0.268	4.25498080308923E-12
Nop56	7.09906366342689E-13	-0.412017453673496	0.256	0.306	1.21344295198956E-08
Pcnp	1.05910297555631E-16	-0.412164865462151	0.206	0.282	1.8103247161184E-12
Svip	3.82088607017932E-06	-0.412853466745703	0.357	0.337	0.065310405597575
Lypla1	1.921539788879E-14	-0.413218523934548	0.228	0.288	3.28448796113087E-10
Pigf	1.36936352741923E-22	-0.413458369587464	0.16	0.267	2.34065307741769E-18
Dus1l	1.39240037517901E-18	-0.413726534033912	0.223	0.303	2.38002996129348E-14
Sdf4	2.71737332125136E-07	-0.413930196161765	0.443	0.395	0.004644806218015
Btbd1	3.63809286859189E-16	-0.414660807436126	0.21	0.282	6.21859214028411E-12
Dync1i2	1.6799100333154E-14	-0.414902387592162	0.202	0.271	2.87147021994601E-10
Endog	7.7976710091972E-23	-0.414921710672142	0.186	0.29	1.33285590560208E-18
Pus1	7.45864829094281E-18	-0.41492276496847	0.216	0.294	1.27490675237085E-13
Rab11b	5.51318013048387E-13	-0.415214508061923	0.244	0.295	9.42367879703608E-09
Trmt6	4.04383804315101E-18	-0.415269286216419	0.167	0.255	6.91213236715801E-14
Itgb1	5.07886753151894E-14	-0.415300615646784	0.206	0.271	8.68130827162532E-10
Ydjc	1.16963954736439E-18	-0.415652441339416	0.172	0.262	1.99926487830994E-14
S100a1	0.568168736291318	-0.415769323368901	0.355	0.286	1
Myb	6.48315935736189E-14	-0.415842827000301	0.194	0.262	1.10816642895387E-09
Smyd2	2.24617918653845E-12	-0.416154908700692	0.243	0.29	3.83939408355018E-08
Ngdn	6.28994163705205E-15	-0.41628082937969	0.229	0.291	1.07513972402131E-10
Apool	5.48374384578544E-27	-0.416308811656471	0.15	0.272	9.37336335560105E-23
Slc35b2	1.43424543476001E-13	-0.41647813121271	0.228	0.285	2.45155572163529E-09
Slc35b1	0.064424288030538	-0.41668433090447	0.493	0.378	1
Tprgl	6.87687295215304E-14	-0.417055015542808	0.214	0.276	1.17546389371152E-09
Stip1	7.1512204741752E-22	-0.417107106543739	0.171	0.274	1.22235811565077E-17
mt-Nd3	2.51698310776559E-20	-0.417273069036788	0.415	0.455	4.30227922610373E-16
Ptgr1	1.13399882181538E-19	-0.417670838826738	0.159	0.252	1.93834418612903E-15
Nsmce2	6.40424673707303E-18	-0.417949237763209	0.188	0.271	1.09467789476789E-13
Mia2	1.05250926463673E-10	-0.417973241306272	0.285	0.313	1.79905408604357E-06
Ppp1cb	5.50434127958624E-06	-0.418099917100035	0.306	0.302	0.094085705491968
Adk	4.10202513667064E-13	-0.418291890242192	0.296	0.332	7.01159156611113E-09
Mvp	3.48626819855872E-15	-0.418352918928264	0.185	0.26	5.95907823179642E-11
Cdc34	1.99658525064049E-09	-0.41835925195596	0.386	0.372	3.41276316891979E-05
Gtf2b	2.01485431411035E-11	-0.418915044605692	0.274	0.307	3.44399047910882E-07
Sdcbp	5.99515157494646E-10	-0.418951121407549	0.313	0.329	1.0247512587056E-05
Bspry	5.5935332919972E-13	-0.419022841764652	0.224	0.279	9.56102645601082E-09
Commd2	1.02798802001784E-15	-0.41905926519838	0.204	0.275	1.7571399226165E-11
Chmp6	3.16078577981412E-31	-0.419062289374212	0.129	0.27	5.40273113343627E-27
Ptcd2	4.48242537124973E-21	-0.419134690920633	0.186	0.281	7.66180968707717E-17
Bloc1s2	4.63581975192621E-23	-0.419280027022093	0.18	0.285	7.92400670196747E-19
Pdss1	8.01081632113791E-29	-0.419293182940717	0.12	0.252	1.3692888337721E-24
Ubxn4	7.10542874494963E-07	-0.419581547138747	0.454	0.402	0.012145309353742
Akt1	4.16018780570104E-13	-0.41992777921891	0.278	0.319	7.11100901628478E-09
Zrsr2	2.22151952068919E-17	-0.419973275354991	0.193	0.273	3.79724331671403E-13
Timm22	2.99883823065089E-26	-0.420083078333986	0.173	0.292	5.12591418765157E-22
Pmf1	4.6385722738586E-20	-0.420496093042393	0.174	0.27	7.92871158770651E-16
Rab21	6.4003360489089E-15	-0.420608739238381	0.198	0.265	1.09400944084E-10
Atp8b1	1.651780073189E-07	-0.420656939298605	0.313	0.318	0.002823387679102
Mtpn	6.3019683891313E-14	-0.420738800745331	0.208	0.269	1.07719545675421E-09
Gpatch4	7.54016581776215E-18	-0.421125233301246	0.169	0.257	1.28884054323008E-13
Rock2	1.00432778717046E-14	-0.421448926559457	0.185	0.257	1.71669748661047E-10
Plin3	5.03932559229008E-18	-0.421681955203334	0.195	0.281	8.61371923490143E-14
Btg1	8.27212022132841E-06	-0.422049908160742	0.3	0.297	0.141395350943167
Hddc2	1.66208733992599E-20	-0.422242974854916	0.248	0.329	2.8410058901355E-16
Bdh1	5.21905566208204E-22	-0.422490085282933	0.179	0.283	8.92093184319682E-18
