"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Pfn1"	5.45689102895416e-261	-0.458890302976743	0.891	0.957	9.32746383579134e-257	"0"	"Pfn1"
"Serp1"	6.32899099783672e-261	-0.695254704232383	0.227	0.548	1.08181443126023e-256	"0"	"Serp1"
"Acot1"	9.63075086780975e-259	0.756494575801578	0.394	0.19	1.64618424583472e-254	"0"	"Acot1"
"Sox4"	1.75473117891644e-256	0.634351430390173	0.523	0.298	2.99936200412187e-252	"0"	"Sox4"
"Cd74"	2.00094304827981e-256	1.05103516713005	0.739	0.552	3.42021195242468e-252	"0"	"Cd74"
"Selenos"	3.73599605002604e-256	-0.772511633727301	0.271	0.582	6.38593804830952e-252	"0"	"Selenos"
"Cdk1"	6.85168631702611e-255	-0.718437040060737	0.076	0.343	1.17115874216927e-250	"0"	"Cdk1"
"Smim24"	7.97424477677476e-255	-1.04064429029037	0.544	0.777	1.36303765969411e-250	"0"	"Smim24"
"Klk1"	3.22125259006613e-253	-1.51934533873247	0.119	0.389	5.50608705220004e-249	"0"	"Klk1"
"Fkbp2"	8.73487345352648e-253	-0.569481534727867	0.5	0.79	1.49305191941128e-248	"0"	"Fkbp2"
"H1f0"	9.3005666993589e-253	-0.667976879683483	0.378	0.683	1.58974586592142e-248	"0"	"H1f0"
"Rpl5"	4.12543418164075e-252	0.405682375375184	0.981	0.974	7.05160464667853e-248	"0"	"Rpl5"
"Ascl2"	4.62999782959207e-252	0.725515991070209	0.435	0.22	7.91405529012172e-248	"0"	"Ascl2"
"Smoc2"	2.66896143947941e-251	0.766539391689204	0.508	0.305	4.56205578850215e-247	"0"	"Smoc2"
"Rrbp1"	1.83624479258325e-250	-0.785922239460194	0.392	0.69	3.13869322396255e-246	"0"	"Rrbp1"
"Sp5"	1.60646700907653e-249	0.655736178483393	0.298	0.116	2.74593405861451e-245	"0"	"Sp5"
"Lgals4"	3.14473890308442e-249	-0.614110721332641	0.994	0.988	5.37530220704219e-245	"0"	"Lgals4"
"Cdc20"	2.88843544919092e-248	-0.628285021175959	0.024	0.266	4.93720271330203e-244	"0"	"Cdc20"
"Gale"	3.93762986147618e-247	-0.645621484207386	0.156	0.454	6.73059072222123e-243	"0"	"Gale"
"Kdelr2"	5.95438692224372e-246	-0.658608840661504	0.306	0.625	1.01778335661912e-241	"0"	"Kdelr2"
"Sec61b"	3.4783645377633e-241	-0.66349055342122	0.812	0.94	5.94556850439881e-237	"0"	"Sec61b"
"Lrrc59"	1.98207130968106e-239	-0.549239489173657	0.18	0.482	3.38795448963784e-235	"0"	"Lrrc59"
"Tk1"	2.8160786865851e-238	-0.625130938402543	0.088	0.354	4.81352329897991e-234	"0"	"Tk1"
"Eef2"	1.04465890634383e-236	0.432394444051823	0.956	0.957	1.78563546861351e-232	"0"	"Eef2"
"Pdia6"	6.2647123635984e-235	-0.788275882377565	0.468	0.753	1.07082728430987e-230	"0"	"Pdia6"
"Muc2"	2.0350805669013e-234	-3.12379887504653	0.092	0.336	3.47856321300439e-230	"0"	"Muc2"
