"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Serpinb6a"	4.06494661311466e-202	0.509109155296255	0.9	0.553	6.94821324579689e-198
"Alyref"	1.31068884716095e-201	0.530234561611189	0.837	0.49	2.24036044645221e-197
"Atp5h"	8.96471712402598e-200	0.378162697976691	1	0.964	1.53233909800976e-195
"Lmna"	2.25208709294928e-199	0.421633044587883	0.587	0.256	3.84949246797821e-195
"Sdhb"	6.63523744448769e-197	0.494052358065552	0.98	0.781	1.13416113638628e-192
"Aldob"	2.98153334602386e-196	0.46268202862268	0.932	0.601	5.09633494835858e-192
"Ndufc1"	2.7739567539447e-195	0.453124958851992	0.99	0.868	4.74152427951768e-191
"Dek"	1.5890426209084e-194	0.587908926458752	0.895	0.56	2.71615055191872e-190
"Uqcrb"	3.73122720036158e-194	0.421827724584571	0.999	0.935	6.37778665357804e-190
"Rbp2"	3.76260026112158e-194	-0.415115595251466	0.702	0.353	6.43141262633511e-190
"Uqcr11"	6.98078599189264e-194	0.404207184524602	0.999	0.947	1.19322574959421e-189
"C1qbp"	8.34806614094241e-194	0.512157536611993	0.97	0.713	1.42693494547129e-189
"Hspe1"	3.05781307289396e-192	0.47627516904023	0.998	0.894	5.22671988549764e-188
"Micos10"	8.03257906841735e-192	0.466812349072235	0.993	0.848	1.37300874016458e-187
"Khk"	1.13384388159875e-190	0.396013593797087	0.673	0.316	1.93807934681674e-186
"Defa24"	2.28721746995437e-186	-3.62873505079292	0.998	0.997	3.90954082139301e-182
"2200002D01Rik"	4.84480893286318e-184	0.420754875133233	0.893	0.558	8.28123190894303e-180
"Tmpo"	2.4327068892448e-183	0.433609179458857	0.645	0.306	4.15822588578614e-179
"Tpi1"	9.47482288840581e-183	0.453006960088992	0.988	0.818	1.61953147631521e-178
"Prelid1"	2.76065929494103e-182	0.480354689100422	0.952	0.703	4.71879493284271e-178
"Snx7"	1.32010171812961e-180	0.400546166750638	0.57	0.256	2.25644986679894e-176
"Mtch2"	4.07314415875578e-180	0.481265995014692	0.93	0.637	6.96222531056126e-176
"Aadac"	1.72356763178998e-177	0.432726524843393	0.582	0.264	2.94609415301861e-173
"Thoc7"	3.00480013659406e-177	0.482239315878816	0.96	0.706	5.13610487348023e-173
"Rpa3"	2.00988533770181e-176	0.451685229898818	0.711	0.373	3.43549700773371e-172
"Mpc2"	2.79439931258392e-176	0.453920831002476	0.978	0.803	4.7764667449997e-172
"Tubb5"	3.14836603514157e-176	0.451751270331647	0.945	0.622	5.38150206386749e-172
"Eif5a"	1.39365094808663e-175	0.391770007462439	0.999	0.948	2.38216756556447e-171
"Clic1"	3.72480787595468e-175	0.455922687089085	0.973	0.76	6.36681410236934e-171
"Rfc4"	6.09341416557716e-175	0.440446689864416	0.658	0.324	1.0415472833221e-170
"Spink4"	1.0089225601358e-174	-4.50282304352916	0.872	0.871	1.72455133204011e-170
"Klf5"	1.22194176290344e-174	0.501008180118589	0.867	0.551	2.08866505533085e-170
"Sf3b5"	1.9872628143001e-174	0.477704418149446	0.951	0.699	3.39682832848315e-170
"Timm50"	1.61181248919632e-173	0.46657308023608	0.809	0.464	2.75507108778328e-169
"Blvrb"	2.12727073705105e-173	0.447770048870838	0.684	0.353	3.63614387084135e-169
"Psmb9"	4.84538857798225e-172	0.484310581655484	0.777	0.44	8.28222269634505e-168
"Sae1"	6.5084848204176e-172	0.421144835779369	0.704	0.361	1.11249531035398e-167
"Bola3"	1.48903952450571e-171	0.475777611552678	0.896	0.59	2.54521525923761e-167
"Ccl25"	1.51228433684066e-171	0.391799635363284	0.97	0.678	2.58494761696175e-167
