"","x"
"3942","Rbm33"
"3943","Shh"
"3944","9530036O11Rik"
"3945","Rnf32"
"3946","Lmbr1"
"3947","4632411P08Rik"
"3948","Nom1"
"3949","Mnx1"
"3950","Ube3c"
"3951","Gm5129"
"3952","Dnajb6"
"3953","Tyms"
"3954","Hadha"
"3955","Hadhb"
"3956","Selenoi"
"3957","Drc1"
"3958","Slc35f6"
"3959","Cenpa"
"3960","Dpysl5"
"3961","Mapre3"
"3962","Gm19409"
"3963","Tmem214"
"3964","Agbl5"
"3965","Ost4"
"3966","Emilin1"
"3967","Khk"
"3968","Cgref1"
"3969","Preb"
"3970","Tcf23"
"3971","Slc5a6"
"3972","Atraid"
"3973","Cad"
"3974","Slc30a3"
"3975","Mpv17"
"3976","Gtf3c2"
"3977","Eif2b4"
"3978","Snx17"
"3979","Zfp513"
"3980","Ppm1g"
"3981","Gm9970"
"3982","Nrbp1"
"3983","Krtcap3"
"3984","Ift172"
"3985","Gckr"
"3986","Zfp512"
"3987","Gpn1"
"3988","Supt7l"
"3989","Slc4a1ap"
"3990","Gm43660"
"3991","AI839979"
"3992","Mrpl33"
"3993","Rbks"
"3994","Babam2"
"3995","Fosl2"
"3996","Plb1"
"3997","Ppp1cb"
"3998","Gm15614"
"3999","Yes1"
"4000","Pisd"
"4001","Prr14l"
"4002","Depdc5"
"4003","Ywhah"
"4004","Slc5a1"
"4005","Spon2"
"4006","Ctbp1"
"4007","Maea"
"4008","Uvssa"
"4009","Fam53a"
"4010","Gm9903"
"4011","Slbp"
"4012","Tmem129"
"4013","Tacc3"
"4014","Fgfr3"
"4015","Letm1"
"4016","Nsd2"
"4017","Nelfa"
"4018","Gm1673"
"4019","Poln"
"4020","Haus3"
"4021","Mxd4"
"4022","Rnf4"
"4023","Fam193a"
"4024","Tnip2"
"4025","Sh3bp2"
"4026","Add1"
"4027","Mfsd10"
"4028","Nop14"
"4029","Grk4"
"4030","Htt"
"4031","Msantd1"
"4032","Rgs12"
"4033","Hgfac"
"4034","Dok7"
"4035","Lrpap1"
"4036","Trmt44"
"4037","Acox3"
"4038","Sh3tc1"
"4039","Ablim2"
"4040","Afap1"
"4041","Sorcs2"
"4042","2210406O10Rik"
"4043","Grpel1"
"4044","Tada2b"
"4045","Ccdc96"
"4046","Tbc1d14"
"4047","D5Ertd579e"
"4048","Bloc1s4"
"4049","Mrfap1"
"4050","Man2b2"
"4051","Wfs1"
"4052","Jakmip1"
"4053","Gm1043"
"4054","Msx1"
"4055","Stx18"
"4056","Nsg1"
"4057","Zbtb49"
"4058","Lyar"
"4059","Tmem128"
"4060","Slc2a9"
"4061","Wdr1"
"4062","Zfp518b"
"4063","4930513D17Rik"
"4064","Hs3st1"
"4065","Rab28"
"4066","Bod1l"
"4067","Gm16223"
"4068","Gm7854"
"4069","Cpeb2"
"4070","Cc2d2a"
"4071","Fbxl5"
"4072","Gm42555"
"4073","Bst1"
"4074","Cd38"
"4075","Gm16014"
"4076","Gm7879"
"4077","Fgfbp1"
"4078","Prom1"
"4079","Gm42716"
"4080","Gm16401"
"4081","Tapt1"
"4082","Gm42984"
"4083","Qdpr"
"4084","Gm42413"
"4085","Lap3"
"4086","Med28"
"4087","Fam184b"
"4088","Ncapg"
"4089","Lcorl"
"4090","Slit2"
"4091","5730480H06Rik"
"4092","Adgra3"
"4093","Ppargc1a"
"4094","Dhx15"
"4095","9230114K14Rik"
"4096","Sod3"
"4097","Ccdc149"
"4098","Sepsecs"
"4099","Pi4k2b"
"4100","Zcchc4"
"4101","Anapc4"
"4102","5033403H07Rik"
"4103","Slc34a2"
"4104","Sel1l3"
"4105","Smim20"
"4106","Gm45495"
"4107","Rbpj"
"4108","Tbc1d19"
"4109","Stim2"
"4110","Gm43042"
"4111","Arap2"
"4112","0610040J01Rik"
"4113","Rell1"
"4114","Pgm2"
"4115","Tbc1d1"
"4116","Gm31363"
"4117","C030018K13Rik"
"4118","Gm26761"
"4119","Gm20033"
"4120","Klf3"
"4121","Tlr1"
"4122","Fam114a1"
"4123","Klhl5"
"4124","Wdr19"
"4125","Rfc1"
"4126","Klb"
"4127","Rpl9"
"4128","Lias"
"4129","Ugdh"
"4130","Smim14"
"4131","Ube2k"
"4132","Gm42726"
"4133","Pds5a"
"4134","N4bp2os"
"4135","N4bp2"
"4136","9130230L23Rik"
"4137","Rbm47"
"4138","Gm26725"
"4139","Nsun7"
"4140","Apbb2"
"4141","Limch1"
"4142","Gm42670"
"4143","Tmem33"
"4144","Slc30a9"
"4145","Atp8a1"
"4146","Gm5108"
"4147","Guf1"
"4148","Gnpda2"
"4149","Gabra2"
"4150","Commd8"
"4151","Nfxl1"
"4152","Zar1"
"4153","Gm5868"
"4154","Cnga1"
"4155","Nipal1"
"4156","Txk"
"4157","Tec"
"4158","Slain2"
"4159","Fryl"
"4160","Ociad1"
"4161","Ociad2"
"4162","Cwh43"
"4163","Dcun1d4"
"4164","Lrrc66"
"4165","Sgcb"
"4166","Usp46"
"4167","Dancr"
"4168","Rasl11b"
"4169","Scfd2"
"4170","Fip1l1"
"4171","Lnx1"
"4172","Chic2"
"4173","Kit"
"4174","Gm19590"
"4175","Srd5a3"
"4176","Tmem165"
"4177","Clock"
"4178","Gm7467"
"4179","Nmu"
"4180","Exoc1"
"4181","Cep135"
"4182","C530008M17Rik"
"4183","Aasdh"
"4184","Ppat"
"4185","Paics"
"4186","Srp72"
"4187","1700112J05Rik"
"4188","Thegl"
"4189","Hopx"
"4190","Hopxos"
"4191","Rest"
"4192","Noa1"
"4193","Polr2b"
"4194","Igfbp7"
"4195","Adgrl3"
"4196","Cenpc1"
"4197","Uba6"
"4198","Ythdc1"
"4199","Ugt2b34"
"4200","Ugt2b35"
"4201","Ugt2b36"
"4202","Ugt2b5"
"4203","Ugt2a3"
"4204","Sult1b1"
"4205","Sult1d1"
"4206","Utp3"
"4207","Rufy3"
"4208","Grsf1"
"4209","Mob1b"
"4210","Dck"
"4211","Slc4a4"
"4212","Cox18"
"4213","Ankrd17"
"4214","Gm9958"
"4215","Alb"
"4216","Afp"
"4217","Afm"
"4218","Rassf6"
"4219","Mthfd2l"
"4220","Ereg"
"4221","Areg"
"4222","Btc"
"4223","Parm1"
"4224","Rchy1"
"4225","Cdkl2"
"4226","G3bp2"
"4227","Uso1"
"4228","Ppef2"
"4229","Naaa"
"4230","Sdad1"
"4231","Cxcl9"
"4232","Cxcl10"
"4233","Nup54"
"4234","Scarb2"
"4235","Fam47e"
"4236","Stbd1"
"4237","Ccdc158"
"4238","Shroom3"
"4239","Sowahb"
"4240","Sept11"
"4241","Ccni"
"4242","2010109A12Rik"
"4243","Ccng2"
"4244","AA792892"
"4245","Cxcl13"
"4246","Cnot6l"
"4247","Mrpl1"
"4248","Fras1"
"4249","Anxa3"
"4250","Gm33370"
"4251","Gm8013"
"4252","Gm9484"
"4253","Bmp2k"
"4254","Paqr3"
"4255","Antxr2"
"4256","Cfap299"
"4257","Bmp3"
"4258","Prkg2"
"4259","Rasgef1b"
"4260","Hnrnpd"
"4261","Gm17092"
"4262","Hnrnpdl"
"4263","Enoph1"
"4264","Sec31a"
"4265","5430416N02Rik"
"4266","Lin54"
"4267","Cops4"
"4268","Plac8"
"4269","Coq2"
"4270","Gm15777"
"4271","Hpse"
"4272","Helq"
"4273","Mrps18c"
"4274","Abraxas1"
"4275","Gm43514"
"4276","4930458D05Rik"
"4277","Gpat3"
"4278","Cds1"
"4279","Wdfy3"
"4280","Gm29707"
"4281","Arhgap24"
"4282","Ptpn13"
"4283","1700016H13Rik"
"4284","Aff1"
"4285","Klhl8"
"4286","Hsd17b13"
"4287","Hsd17b11"
"4288","Nudt9"
"4289","Gm17660"
"4290","Pkd2"
"4291","BC005561"
"4292","D930016D06Rik"
"4293","Zfp951"
"4294","Gbp8"
"4295","Gbp9"
"4296","Gbp4"
"4297","Gbp10"
"4298","Gbp6"
"4299","Gm32051"
"4300","Lrrc8b"
"4301","Lrrc8c"
"4302","Lrrc8d"
"4303","Zfp326"
"4304","Gm28050"
"4305","Zfp644"
"4306","Cdc7"
"4307","Brdt"
"4308","Ephx4"
"4309","Btbd8"
"4310","1700028K03Rik"
"4311","Glmn"
"4312","Rpap2"
"4313","A930041C12Rik"
"4314","Gm26692"
"4315","Gfi1"
"4316","Evi5"
"4317","Rpl5"
"4318","Dipk1a"
"4319","Mtf2"
"4320","Tmed5"
"4321","Ccdc18"
"4322","Dr1"
"4323","Pigg"
"4324","Atp5k"
"4325","Mfsd7a"
"4326","Pcgf3"
"4327","Cplx1"
"4328","Gak"
"4329","Tmem175"
"4330","Dgkq"
"4331","Idua"
"4332","Fgfrl1"
"4333","Rnf212"
"4334","Crlf2"
"4335","5430403G16Rik"
"4336","4930522L14Rik"
"4337","A430073D23Rik"
"4338","Gm15446"
"4339","1010001B22Rik"
"4340","Zfp932"
"4341","Gm17655"
"4342","Gm35315"
"4343","Gtpbp6"
"4344","Zfp605"
"4345","Chfr"
"4346","Gm43136"
"4347","Gm15787"
"4348","Golga3"
"4349","Gm43138"
"4350","Gm43137"
"4351","Ankle2"
"4352","Pgam5"
"4353","Pxmp2"
"4354","Pole"
"4355","Fbrsl1"
"4356","Gm42596"
"4357","Noc4l"
"4358","Ddx51"
"4359","Gm42595"
"4360","Ep400"
"4361","Gm15559"
"4362","Pus1"
"4363","Ulk1"
"4364","Hscb"
"4365","Chek2"
"4366","Ttc28"
"4367","Pitpnb"
"4368","Mn1"
"4369","Miat"
"4370","Cryba4"
"4371","Crybb1"
"4372","Tpst2"
"4373","Tfip11"
"4374","Srrd"
"4375","Hps4"
"4376","Grk3"
"4377","Crybb3"
"4378","2900026A02Rik"
"4379","Sgsm1"
"4380","Ficd"
"4381","Sart3"
"4382","Iscu"
"4383","Selplg"
"4384","Coro1c"
"4385","Ssh1"
"4386","Dao"
"4387","Svop"
"4388","Usp30"
"4389","Alkbh2"
"4390","Ung"
"4391","Acacb"
"4392","Myo1h"
"4393","Kctd10"
"4394","Ube3b"
"4395","Mmab"
"4396","Mvk"
"4397","Fam222a"
"4398","Gltp"
"4399","Tchp"
"4400","Git2"
"4401","4930515G01Rik"
"4402","Ankrd13a"
"4403","1500011B03Rik"
"4404","Gm9936"
"4405","Oasl2"
"4406","Gm13822"
"4407","Oasl1"
"4408","2210016L21Rik"
"4409","Hnf1a"
"4410","Hnf1aos1"
"4411","Hnf1aos2"
"4412","Sppl3"
"4413","Gm10401"
"4414","Acads"
"4415","Unc119b"
"4416","Mlec"
"4417","Cabp1"
"4418","Pop5"
"4419","Rnf10"
"4420","Coq5"
"4421","Dynll1"
"4422","Gm13830"
"4423","Srsf9"
"4424","Gatc"
"4425","Triap1"
"4426","Cox6a1"
"4427","Gm42903"
"4428","Msi1"
"4429","Pla2g1b"
"4430","Sirt4"
"4431","Pxn"
"4432","Gm13840"
"4433","Rplp0"
"4434","Gcn1"
"4435","1110006O24Rik"
"4436","Rab35"
"4437","Bicdl1"
"4438","Cit"
"4439","Gm14508"
"4440","Prkab1"
"4441","Hspb8"
"4442","Suds3"
"4443","9530046B11Rik"
"4444","Taok3"
"4445","Pebp1"
"4446","BC051077"
"4447","Gm10399"
"4448","Vsig10"
"4449","Wsb2"
"4450","Rfc5"
"4451","Gm15728"
"4452","Ksr2"
"4453","Fbxo21"
"4454","Tesc"
"4455","Fbxw8"
"4456","Rnft2"
"4457","2410131K14Rik"
"4458","Med13l"
"4459","Tbx3os1"
"4460","Tbx3"
"4461","Tbx3os2"
"4462","Rbm19"
"4463","Sdsl"
"4464","Plbd2"
"4465","Slc8b1"
"4466","Tpcn1"
"4467","Iqcd"
"4468","Rita1"
"4469","Ddx54"
"4470","Gm43579"
"4471","Rasal1"
"4472","Oas2"
"4473","Oas3"
"4474","Oas1c"
"4475","Oas1f"
"4476","Oas1g"
"4477","Oas1a"
"4478","Ptpn11"
"4479","Rpl6"
"4480","Hectd4"
"4481","Trafd1"
"4482","Gm42918"
"4483","Naa25"
"4484","Erp29"
"4485","Tmem116"
"4486","Adam1a"
"4487","Mapkapk5"
"4488","Aldh2"
"4489","Acad12"
"4490","Acad10"
"4491","Brap"
"4492","Atxn2"
"4493","Gm16552"
"4494","Sh2b3"
"4495","Pheta1"
"4496","Cux2"
"4497","Ccdc63"
"4498","Ppp1cc"
"4499","Tctn1"
"4500","Pptc7"
"4501","Rad9b"
"4502","Vps29"
"4503","Fam216a"
"4504","Gpn3"
"4505","Arpc3"
"4506","Gm42829"
"4507","Anapc7"
"4508","Atp2a2"
"4509","Ift81"
"4510","P2rx7"
"4511","P2rx4"
"4512","Camkk2"
"4513","Anapc5"
"4514","Rnf34"
"4515","Kdm2b"
"4516","A930024E05Rik"
"4517","Orai1"
"4518","Tmem120b"
"4519","Rhof"
"4520","AI480526"
"4521","Gm38102"
"4522","4932422M17Rik"
"4523","Setd1b"
"4524","Psmd9"
"4525","Hpd"
"4526","Gm15860"
"4527","Bcl7a"
"4528","Gm15747"
"4529","Mlxip"
"4530","Gm43813"
"4531","Diablo"
"4532","Vps33a"
"4533","Clip1"
"4534","Zcchc8"
"4535","Rsrc2"
"4536","Kntc1"
"4537","Hcar2"
"4538","Hcar1"
"4539","Denr"
"4540","Ccdc62"
"4541","Hip1r"
"4542","Vps37b"
"4543","Abcb9"
"4544","Gm16001"
"4545","Ogfod2"
"4546","Arl6ip4"
"4547","Pitpnm2"
"4548","Mphosph9"
"4549","2810006K23Rik"
"4550","Cdk2ap1"
"4551","Sbno1"
"4552","Kmt5a"
"4553","Rilpl2"
"4554","Snrnp35"
"4555","Rilpl1"
"4556","Tmed2"
"4557","Ddx55"
"4558","Eif2b1"
"4559","Gtf2h3"
"4560","Tctn2"
"4561","Atp6v0a2"
"4562","Ccdc92"
"4563","Zfp664"
"4564","Rflna"
"4565","Ncor2"
"4566","Scarb1"
"4567","Ubc"
"4568","Gm10382"
"4569","Dhx37"
"4570","Bri3bp"
"4571","Aacs"
"4572","Slc15a4"
"4573","Glt1d1"
"4574","Rimbp2"
"4575","Stx2"
"4576","Ran"
"4577","Adgrd1"
"4578","Sfswap"
"4579","Zfp11"
"4580","Mrps17"
"4581","Nipsnap2"
"4582","Gm15903"
"4583","Psph"
"4584","Cct6a"
"4585","Sumf2"
"4586","Phkg1"
"4587","Chchd2"
"4588","Zbed5"
"4589","Nupr1l"
"4590","Vkorc1l1"
"4591","Gusb"
"4592","Asl"
"4593","Crcp"
"4594","Tpst1"
"4595","Rabgef1"
"4596","Tmem248"
"4597","Gm6598"
"4598","Sbds"
"4599","Tyw1"
"4600","Auts2"
"4601","Castor2"
"4602","Rcc1l"
"4603","Gtf2ird2"
"4604","Ncf1"
"4605","Gtf2i"
"4606","Gm43480"
"4607","Gtf2ird1"
"4608","Clip2"
"4609","Syna"
"4610","Rfc2"
"4611","Lat2"
"4612","Eif4h"
"4613","Limk1"
"4614","Mettl27"
"4615","Cldn4"
"4616","Cldn3"
"4617","Wbscr25"
"4618","Abhd11"
"4619","Stx1a"
"4620","Bud23"
"4621","Dnajc30"
"4622","Vps37d"
"4623","Mlxipl"
"4624","Tbl2"
"4625","Bcl7b"
"4626","Baz1b"
"4627","Fzd9"
"4628","Fkbp6"
"4629","Nsun5"
"4630","Pom121"
"4631","Hip1"
"4632","Ccl24"
"4633","Rhbdd2"
"4634","Por"
"4635","Tmem120a"
"4636","Mdh2"
"4637","Srrm3"
"4638","Ywhag"
"4639","Ssc4d"
"4640","Dtx2"
"4641","Upk3bl"
"4642","Rasa4"
"4643","Polr2j"
"4644","Lrwd1"
"4645","Alkbh4"
"4646","Orai2"
"4647","Prkrip1"
"4648","Sh2b2"
"4649","Cux1"
"4650","Ift22"
"4651","4933404O12Rik"
"4652","Fis1"
"4653","Cldn15"
"4654","Znhit1"
"4655","Plod3"
"4656","Vgf"
"4657","Ap1s1"
"4658","Trim56"
"4659","Muc3"
"4660","Gm3054"
"4661","Gm40348"
"4662","CAAA01077340.1"
"4663","Muc3a"
"4664","Ache"
"4665","Ufsp1"
"4666","Srrt"
"4667","Trip6"
"4668","Slc12a9"
"4669","Ephb4"
"4670","Zan"
"4671","Pop7"
"4672","9130604C24Rik"
"4673","Gm8066"
"4674","Gigyf1"
"4675","Gnb2"
"4676","Actl6b"
"4677","Mospd3"
"4678","Fbxo24"
"4679","Gm36266"
"4680","Lrch4"
"4681","Sap25"
"4682","Agfg2"
"4683","Nyap1"
"4684","Tsc22d4"
"4685","Ppp1r35"
"4686","Mepce"
"4687","Zcwpw1"
"4688","Cyp3a13"
"4689","Zkscan1"
"4690","Zscan21"
"4691","Zfp113"
"4692","Cops6"
"4693","Mcm7"
"4694","Ap4m1"
"4695","Taf6"
"4696","Cnpy4"
"4697","Mblac1"
"4698","Lamtor4"
"4699","Map11"
"4700","6330418K02Rik"
"4701","Gpc2"
"4702","Stag3"
"4703","Gm10874"
"4704","Zfp157"
"4705","Zfp68"
"4706","A430033K04Rik"
"4707","Fam20c"
"4708","Gm5294"
"4709","Pdgfa"
"4710","6330403L08Rik"
"4711","Prkar1b"
"4712","Gm15672"
"4713","Dnaaf5"
"4714","Sun1"
"4715","Get4"
"4716","Adap1"
"4717","Cox19"
"4718","3110082I17Rik"
"4719","Gpr146"
"4720","Gper1"
"4721","Zfand2a"
"4722","Micall2"
"4723","Ints1"
"4724","Mafk"
"4725","Tmem184a"
"4726","Psmg3"
"4727","Mad1l1"
"4728","Nudt1"
"4729","Mrm2"
"4730","Snx8"
"4731","Eif3b"
"4732","Chst12"
"4733","Lfng"
"4734","Ttyh3"
"4735","Iqce"
"4736","Brat1"
"4737","Amz1"
"4738","Gna12"
"4739","Card11"
"4740","Sdk1"
"4741","Gm16035"
"4742","Foxk1"
"4743","Ap5z1"
"4744","Wipi2"
"4745","Slc29a4"
"4746","Tnrc18"
"4747","Fbxl18"
"4748","D430018E03Rik"
"4749","Actb"
"4750","Rnf216"
"4751","Gm43378"
"4752","Rbakdn"
"4753","Rbak"
"4754","Zfp12"
"4755","Zfp316"
"4756","BC030343"
"4757","E130309D02Rik"
"4758","Zdhhc4"
"4759","0610040B10Rik"
"4760","Grid2ip"
"4761","Gm20635"
"4762","Gm42504"
"4763","Kdelr2"
"4764","Daglb"
"4765","Rac1"
"4766","Fam220a"
"4767","Fam220a.1"
"4768","Cyth3"
"4769","Usp42"
"4770","D130017N08Rik"
"4771","Eif2ak1"
"4772","Ankrd61"
"4773","Aimp2"
"4774","Pms2"
"4775","Rsph10b"
"4776","Ccz1"
"4777","Ocm"
"4778","Lmtk2"
"4779","Bhlha15"
"4780","Tecpr1"
"4781","2900089D17Rik"
"4782","Bri3"
"4783","Baiap2l1"
"4784","Gm15708"
"4785","Nptx2"
"4786","Trrap"
"4787","Smurf1"
"4788","Arpc1a"
"4789","Arpc1b"
"4790","Pdap1"
"4791","Bud31"
"4792","Ptcd1"
"4793","Cpsf4"
"4794","Atp5j2"
"4795","Zkscan14"
"4796","Zkscan5"
"4797","Zfp655"
"4798","Zscan25"
"4799","Cyp3a11"
"4800","Cyp3a25"
"4801","Cyp3a59"
"4802","B230303O12Rik"
"4803","Rnf6"
"4804","Cdk8"
"4805","4930573C15Rik"
"4806","Usp12"
"4807","Rpl21"
"4808","Rasl11a"
"4809","Gtf3a"
"4810","Mtif3"
"4811","Lnx2"
"4812","Polr1d"
"4813","Plut"
"4814","Pdx1"
"4815","Gm27033"
"4816","Cdx2"
"4817","Urad"
"4818","Pan3"
"4819","Pomp"
"4820","Slc46a3"
"4821","Mtus2"
"4822","Slc7a1"
"4823","Ubl3"
"4824","2210417A02Rik"
"4825","Katnal1"
"4826","1810059H22Rik"
"4827","5930430L01Rik"
"4828","Gm15411"
"4829","Gm15408"
"4830","Hmgb1"
"4831","Mm2pr"
"4832","Uspl1"
"4833","Alox5ap"
"4834","Hsph1"
"4835","B3glct"
"4836","4930500F04Rik"
"4837","Rxfp2"
"4838","Fry"
"4839","Brca2"
"4840","Gm42531"
"4841","N4bp2l1"
"4842","Gm43597"
"4843","N4bp2l2"
"4844","Pds5b"
"4845","Stard13"
"4846","D730045B01Rik"
"4847","1700028E10Rik"
"4848","Vmn2r18"
"4849","Rfc3"
"4850","Gm8579"
"4851","Gm20559"
"4852","Samd9l"
"4853","Hepacam2"
"4854","Vps50"
"4855","Tfpi2"
"4856","Gngt1"
"4857","Gng11"
"4858","Bet1"
"4859","Casd1"
"4860","Ppp1r9a"
"4861","Pon3"
"4862","Pon2"
"4863","Asb4"
"4864","Pdk4"
"4865","Dync1i1"
"4866","Slc25a13"
"4867","Sem1"
"4868","Sdhaf3"
"4869","Tac1"
"4870","Asns"
"4871","C1galt1"
"4872","Col28a1"
"4873","Mios"
"4874","Rpa3"
"4875","Umad1"
"4876","A430035B10Rik"
"4877","Glcci1"
"4878","Ica1"
"4879","Nxph1"
"4880","Ndufa4"
"4881","Phf14"
"4882","Tmem106b"
"4883","Tmem168"
"4884","Bmt2"
"4885","2610001J05Rik"
"4886","1110019D14Rik"
"4887","Mdfic"
"4888","Gm4876"
"4889","Tes"
"4890","Cav2"
"4891","Met"
"4892","Capza2"
"4893","St7"
"4894","Asz1"
"4895","Cftr"
"4896","Cttnbp2"
"4897","Gm15594"
"4898","Gm20186"
"4899","Lsm8"
"4900","Tspan12"
"4901","Ing3"
"4902","Cped1"
"4903","Fam3c"
"4904","Cadps2"
"4905","Slc13a1"
"4906","Iqub"
"4907","Ndufa5"
"4908","Wasl"
"4909","Tmem229a"
"4910","Pot1a"
"4911","Zfp800"
"4912","Gcc1"
"4913","Arf5"
"4914","Pax4"
"4915","Snd1"
"4916","Lrrc4"
"4917","Rbm28"
"4918","Prrt4"
"4919","Impdh1"
"4920","Hilpda"
"4921","Calu"
"4922","Ccdc136"
"4923","Atp6v1f"
"4924","Irf5"
"4925","Tnpo3"
"4926","Tspan33"
"4927","Smo"
"4928","Ahcyl2"
"4929","Strip2"
"4930","Nrf1"
"4931","Rncr4"
"4932","Ube2h"
"4933","Zc3hc1"
"4934","Klhdc10"
"4935","Tmem209"
"4936","Cpa2"
"4937","Cep41"
"4938","Copg2"
"4939","Lncpint"
"4940","Mkln1os"
"4941","Mkln1"
"4942","Plxna4"
"4943","Chchd3"
"4944","Exoc4"
"4945","Gm13856"
"4946","Slc35b4"
"4947","Akr1b3"
"4948","Akr1b8"
"4949","Akr1b10"
"4950","Akr1b7"
"4951","Bpgm"
"4952","Cald1"
"4953","Agbl3"
"4954","Tmem140"
"4955","Cyren"
"4956","Wdr91"
"4957","Slc23a4"
"4958","Cnot4"
"4959","Nup205"
"4960","1810058I24Rik"
"4961","Slc13a4"
"4962","Mtpn"
"4963","Dgki"
"4964","Creb3l2"
"4965","Akr1d1"
"4966","Trim24"
"4967","Tmem213"
"4968","D630045J12Rik"
"4969","Zc3hav1l"
"4970","Zc3hav1"
"4971","Ttc26"
"4972","Ubn2"
"4973","Fmc1"
"4974","Luc7l2"
"4975","Hipk2"
"4976","Tbxas1"
"4977","Parp12"
"4978","4930599N23Rik"
"4979","Kdm7a"
"4980","Gm49041"
"4981","Slc37a3"
"4982","Rab19"
"4983","Mkrn1"
"4984","Gm10244"
"4985","Dennd2a"
"4986","Adck2"
"4987","Ndufb2"
"4988","Braf"
"4989","Mrps33"
"4990","Tmem178b"
"4991","Agk"
"4992","E330009J07Rik"
"4993","Wee2"
"4994","Ssbp1"
"4995","Mgam"
"4996","Mgam2-ps"
"4997","Trbc1"
"4998","Trbc2"
"4999","Sval1"
"5000","Gstk1"
"5001","Tmem139"
"5002","Casp2"
"5003","Clcn1"
"5004","Zyx"
"5005","Epha1"
"5006","Tcaf2"
"5007","Tcaf1"
"5008","Arhgef5"
"5009","Tpk1"
"5010","Cntnap2"
"5011","Cul1"
"5012","Ezh2"
"5013","Pdia4"
"5014","Zfp786"
"5015","Zfp398"
"5016","Zfp282"
"5017","Zfp212"
"5018","Zfp956"
"5019","Zfp777"
"5020","Zfp746"
"5021","Krba1"
"5022","Zfp467"
"5023","Sspo"
"5024","Atp6v0e2"
"5025","Lrrc61"
"5026","Repin1"
"5027","Zfp775"
"5028","AI854703"
"5029","Gimap8"
"5030","Gimap9"
"5031","Gimap4"
"5032","Gimap6"
"5033","Gimap1os"
"5034","Gimap1"
"5035","Gimap5"
"5036","4833403J16Rik"
"5037","Gimap3"
"5038","Tmem176b"
"5039","Tmem176a"
"5040","Gm7932"
"5041","Aoc1"
"5042","Malsu1"
"5043","Igf2bp3"
"5044","Tra2a"
"5045","Ccdc126"
"5046","Fam221a"
"5047","Mpp6"
"5048","Gsdme"
"5049","Osbpl3"
"5050","Cycs"
"5051","5430402O13Rik"
"5052","4921507P07Rik"
"5053","0610033M10Rik"
"5054","Nfe2l3"
"5055","Hnrnpa2b1"
"5056","Cbx3"
"5057","Snx10"
"5058","Skap2"
"5059","Halr1"
"5060","Hotairm1"
"5061","Hoxa3"
"5062","Hoxaas3"
"5063","Hoxa4"
"5064","Hoxa5"
"5065","Hoxa7"
"5066","Hibadh"
"5067","Tax1bp1"
"5068","Jazf1"
"5069","Tril"
"5070","Cpvl"
"5071","4921529L05Rik"
"5072","Chn2"
"5073","9130019P16Rik"
"5074","Prr15"
"5075","Wipf3"
"5076","Gm44026"
"5077","Scrn1"
"5078","Fkbp14"
"5079","Plekha8"
"5080","Mturn"
"5081","Znrf2"
"5082","Nod1"
"5083","Ggct"
"5084","Gars"
"5085","Mindy4"
"5086","Aqp1"
"5087","Ghrhr"
"5088","Itprid1"
"5089","Pde1c"
"5090","Lsm5"
"5091","Avl9"
"5092","Kbtbd2"
"5093","Fkbp9"
"5094","Nt5c3"
"5095","Vmn1r4"
"5096","Ppm1k"
"5097","Herc6"
"5098","Lancl2"
"5099","Vopp1"
"5100","Abcg2"
"5101","Herc3"
"5102","Nap1l5"
"5103","Fam13a"
"5104","Tigd2"
"5105","Gprin3"
"5106","Snca"
"5107","A730020E08Rik"
"5108","Ccser1"
"5109","Atoh1"
"5110","Smarcad1"
"5111","Hpgds"
"5112","Tnip3"
"5113","Mad2l1"
"5114","4930597O21Rik"
"5115","Gng12"
"5116","Gadd45a"
"5117","E230016M11Rik"
"5118","A430010J10Rik"
"5119","Serbp1"
"5120","Rpia"
"5121","Eif2ak3"
"5122","Thnsl2"
"5123","Fabp1"
"5124","Krcc1"
"5125","Cd8b1"
"5126","Cd8a"
"5127","Rmnd5a"
"5128","Rnf103"
"5129","1700040L08Rik"
"5130","Chmp3"
"5131","Kdm3a"
"5132","Reep1"
"5133","Mrpl35"
"5134","Immt"
"5135","Ptcd3"
"5136","Polr1a"
"5137","Atoh8"
"5138","Usp39"
"5139","Gm45051"
"5140","0610030E20Rik"
"5141","Tmem150a"
"5142","Rnf181"
"5143","Vamp5"
"5144","Vamp8"
"5145","Ggcx"
"5146","Mat2a"
"5147","Sh2d6"
"5148","Capg"
"5149","Elmod3"
"5150","Retsat"
"5151","Tgoln1"
"5152","Gm20536"
"5153","Tcf7l1"
"5154","Gm15401"
"5155","Kcmf1"
"5156","Tmsb10"
"5157","Suclg1"
"5158","Reg3b"
"5159","Reg3d"
"5160","Reg3a"
"5161","Reg2"
"5162","Reg1"
"5163","Reg3g"
"5164","Gcfc2"
"5165","Mrpl19"
"5166","Eva1a"
"5167","Pole4"
"5168","Hk2"
"5169","Dok1"
"5170","Htra2"
"5171","Aup1"
"5172","Dqx1"
"5173","Pcgf1"
"5174","Lbx2"
"5175","Ccdc142"
"5176","Ccdc142os"
"5177","Mrpl53"
"5178","Mogs"
"5179","Wbp1"
"5180","Ino80b"
"5181","Rtkn"
"5182","Wdr54"
"5183","1700003E16Rik"
"5184","Dctn1"
"5185","Slc4a5"
"5186","Mthfd2"
"5187","Mob1a"
"5188","Bola3"
"5189","Tet3"
"5190","B230319C09Rik"
