""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Gm42670"	0.025802666399809	0.0245829769236837	0.014556185274934	0.0145602359808637	0.0286230542172619	0.0200975931586243	0.0274339455232554	0.025220552101575	0.00839934186908663	0.0211693377328849	0.0159744922423122	0.0416081024011818	0.0119642391385749	0.00731071106900142	0
"Tmem33"	0.664524161437616	0.759980840440997	0.45748986647633	0.604892432823234	0.897378767795605	0.766919763065819	0.647946733797682	0.94004021560783	0.216907939385439	0.896644442701953	0.885526708130119	0.998554307974785	0.974704845735612	0.76802874050226	0.487493837848183
"Slc30a9"	0.222756756859398	0.226919684384181	0.222929772599653	0.173526120269199	0.204611987618905	0.202786102689376	0.240278275357809	0.291007075465822	0.117746017123326	0.247724568993057	0.413662151910572	0.397383873467259	0.279129457352312	0.602450429070716	0.268470790378007
"Atp8a1"	0.102433653994375	0.0729472099087569	0.234850702711029	0.0639193984958236	0.0905281692371095	0.0820903752466899	0.145348456980471	0.14524745090461	0.0159266521986619	0.166564624381743	0.15073403993938	0.30851600118096	0.146589369765675	0.481781907559643	0.381898262732064
"Gm5108"	0	0	0.0030182174533022	0	0	0	0.00124289421839168	0	0	0	0	0	0	0	0
"Guf1"	0.217591034982185	0.198788065893169	0.115331681312346	0.186883589543223	0.208622381214099	0.14748696869422	0.143562004055642	0.143698075247374	0.0602138401610878	0.114463808330861	0.288160631464558	0.178674527664826	0.146081835548114	0.36360348187766	0.243452414837117
"Gnpda2"	0.231176168938785	0.169147220996271	0.142062648782183	0.176593225280414	0.147563544185057	0.103536054554712	0.127593847612757	0.139683406379608	0.0434021938537387	0.0917307328393909	0.440359022539395	0.246893073380218	0.134098546185016	0.861461967010187	0.782555663804661
"Gabra2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Commd8"	0.24449813026015	0.264929124047401	0.139647429569976	0.289612201245551	0.301934514058495	0.262532051043482	0.206215887258635	0.303307262432957	0.0824850119451624	0.203754538500911	0.346163457462318	0.211859916053674	0.197981567635283	0.30859265758948	0.556466594160457
"Nfxl1"	0.104540247415378	0.101452169077312	0.195165253339516	0.0770726923658077	0.0771283243222051	0.0865708217374551	0.132472868644029	0.08723530813083	0.0684474166157937	0.071661503149095	0.155868530593364	0.0995113590106018	0.0852755328188295	0.199298859826632	0
"Zar1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm5868"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cnga1"	0.00230993051500601	0.00247915476187225	0.00281006801358775	0	0	0	0.00621579316432544	0.00183059659142915	0	0	0	0	0	0	0.0229475693934498
"Nipal1"	0.142204443003018	0.168468417815875	0.405000807453138	0.129166256544249	0.127299512795167	0.166408455578025	0.216197779462456	0.125975476182055	0.12018340767884	0.111042747020177	0.6569892796381	0.0732117870858556	0.157896184644765	0.106226425253253	0
"Txk"	0.00256352735595029	0.000535906714503844	0.00194207037130832	0.00176968218081667	0	0	0	0	0.00118635811548437	0.00435383058722726	0	0	0	0	1.09458203343204
"Tec"	0.119773682523872	0.0994906934469964	0.0245019872438793	0.123755488621177	0.102604875502679	0.0999964048878114	0.0428391256835756	0.0951073375145398	0.0135485404540295	0.0885703183374608	0.231664959582357	0.285766025434432	0.133216353832702	0.142054356945463	0.59893805956168
"Slain2"	0.187323395958034	0.220167042780473	0.405798643966599	0.140244188638202	0.159045973553639	0.232350353248592	0.265570261589975	0.258448170540646	0.0600479720297007	0.276867121540708	0.286830602314254	0.420355664965588	0.28421824969815	0.559761906213842	0.522462479566108
"Fryl"	0.311496164464095	0.187125328336596	0.905733008721656	0.214412128314649	0.179991943928306	0.113956358537232	0.586814076402789	0.113395766822364	0.532142869630285	0.116184228100329	2.03847107773579	1.70990337839636	0.131216780398679	1.57992423878458	0.842530614373732
"Ociad1"	0.432700839023431	0.43134087039494	0.400768762085148	0.462343099478197	0.491293254411871	0.499707260505946	0.479875091198786	0.458379267310616	0.215196230922529	0.45782511699998	0.650953789955017	0.661510236726293	0.456832231161828	0.395881409678858	0.373737468309582
"Ociad2"	2.99655855582576	2.94201496106396	0.96228497755683	2.9278581842908	3.88199971821543	3.4171869490519	1.85152439700396	4.24809740566774	0.645493709429206	4.9147385087372	0.713611478758769	3.01835838124129	2.51557249282139	0.810499664882441	0.215010548541622
"Cwh43"	0	0	0.0021760664031015	0	0	0.000762623225614074	0	0.00181352271346523	0	0	0	0.139335927261623	0	0.356146934313255	0
"Dcun1d4"	0.185493405253255	0.11358524494992	0.0226250852929305	0.10535161145328	0.0776332418466906	0.0522200007055583	0.0751413996491508	0.0421595205561626	0.0378373735565475	0.0596121251883498	0.14141432174979	0.107602820163356	0.0269232719616706	0.164826000142602	0
"Lrrc66"	0.039041766325022	0.0270486175485652	0.0683352100247812	0.0268181198667396	0.0235228371164142	0.0340421888101686	0.034537405665384	0.0552119147243715	0.0233973328986075	0.0414889598941721	0.0131577564418621	0.0537649501931491	0.0781886458873996	0.069051454376932	0
"Sgcb"	0.0112840150854124	0.0257038471294434	0.0143313445792488	0.0168633572931446	0.0204577393444844	0.0219132354982417	0.0256025531156613	0.0240300335304558	0.018765552635665	0.0225350610897595	0.143001205364768	0.0671215473935251	0.031861095642719	0.239236957058345	0
"Usp46"	0.130401790899685	0.138973280346535	0.0700430137445314	0.125112008786941	0.127890452757655	0.110996432667451	0.0962875476656972	0.105140607338711	0.0489786157457313	0.0881595935095865	0.247988951593331	0.127852740320971	0.108597165580346	0.230336645750875	0
"Dancr"	0.616900152048666	0.551603811418948	0.148502990026847	0.340803899194249	0.710511825892778	0.360562786987004	0.323763039846619	0.380855357410404	0.111732047052724	0.152555732685728	0.335551072209858	0.223308748758338	0.248679378941492	0.283282700673521	0.192669543617129
"Rasl11b"	0.0275269008164437	0.0153868883833306	0	0.0152979705425051	0.0117719408845286	0.00407324610793554	0.00749962209882341	0.0036390353949938	0.0035133022489164	0	0.0325797203766015	0	0.00934782120983241	0	0
"Scfd2"	0.0212884607442184	0.0162241488787241	0.0444084257512193	0.0309707171104911	0.0187004253950162	0.0286598833104786	0.0285274709446266	0.0140634455483578	0.0385119483575061	0.0134828275111075	0.0249800214362636	0.0904654351859007	0.0158351952370761	0.0490125484788376	0.147345708794539
"Fip1l1"	0.615878560954818	0.591937559094736	0.388734444436733	0.682381317096077	0.506076106763152	0.544271343591596	0.518155360497152	0.418386849019699	0.179397611551787	0.33745825762516	1.32278050355359	0.857254790548426	0.376247559543796	0.859979024683612	1.31070623458553
"Lnx1"	0.144360356026492	0.143828067339329	0.06037105688594	0.107358381579117	0.0917908971157632	0.0847755525632526	0.0666241249138779	0.0990239682301511	0.0294412713261155	0.102755118617733	0.090019722845783	0.110345893335752	0.111867208588077	0.171969954771501	0
