""	"RNA.0"	"RNA.1"	"RNA.2"	"RNA.3"	"RNA.4"	"RNA.5"	"RNA.6"	"RNA.7"	"RNA.8"	"RNA.9"	"RNA.10"	"RNA.11"	"RNA.12"	"RNA.13"	"RNA.14"
"Fnbp4"	0.210956430957614	0.232469472081776	0.139249715767311	0.205450650279577	0.177396797900173	0.165597200207186	0.182154840111306	0.100262717426029	0.0572430226616158	0.0901459963323945	0.31572306284338	0.243031978203024	0.145355902647739	0.317795169080834	0.929232604689092
"Mtch2"	1.93167921496257	2.33757252804186	0.868375997500664	2.28534799309021	2.69950625906107	3.51788910592162	1.78307015572874	4.13856490453829	0.487285406510886	5.83095441048217	1.54398401424272	1.51293114681332	4.17838521995102	1.80147681879098	1.28995914519758
"C1qtnf4"	0.123010433793492	0.0505093177630538	0.0429341785259336	0.0829512665145079	0.0578492514133878	0.0334949303211635	0.0601213062074677	0.0577981429936161	0.0363349251918288	0.100792818683279	0.411999237001889	0.262169781085999	0.0588011848137015	1.1731480760205	0.540248514316586
"Ndufs3"	2.71481828176493	3.51461187095609	1.35174184008833	3.08723415739618	3.79932321618724	4.14152285806532	2.47858009362644	4.67329419683949	0.836064380047841	4.81599014894564	2.21240262866455	2.15514813949652	3.87630328557293	2.29016924510275	2.71620881267805
"Kbtbd4"	0.058186625634561	0.0375356571846025	0.0344515691089844	0.0564615056736599	0.0424073337088457	0.0512191069515998	0.0295303072545652	0.0374349568281225	0.00851994873828725	0.0396946983894239	0.0847610618374347	0.0547553514728969	0.0217304786255751	0.0780036120920375	0
"Ptpmt1"	0.889185948522953	1.23565083392458	0.849334438801714	0.981933388936414	1.16333019348665	1.27367676775661	0.970798655057735	1.55364392895753	0.300220947574094	1.59040468934343	0.674789266986069	1.22044272292252	1.60200284781307	0.654238829515722	0
"Celf1"	0.333782423832888	0.311641899846005	0.436222373771198	0.350442261259449	0.330580099392586	0.334433089009435	0.443747481930389	0.264977312447524	0.177833757139137	0.239217070590464	0.815682607118265	0.826103317085351	0.240374447582055	1.18641671661533	0.258397932816537
"Gm13778"	0.00329286868397439	0.00238825670118574	0.00584182693902864	0.0038530400603215	0	0.000768376334746531	0.00156469840125376	0.00464283591846437	0.00422664847084024	0	0.0119409553055487	0	0	0	0
"Psmc3"	1.64983383289642	2.24627518283022	1.23556565239222	2.06160596881919	2.2271069796746	2.4908793776134	1.84202647428317	2.16300358281506	0.518649064317948	1.71957861676941	1.63753492254075	1.7602511005038	2.00794521043476	1.68816571008499	1.40153711213905
"Slc39a13"	0.0356124510524373	0.0212210949464266	0.0659430000015467	0.012153456293685	0.0257622949113094	0.018020289125595	0.0446710589639033	0.0169563422387504	0.0204804221902764	0.0131331168664394	0.0634701842757781	0.0738836483896117	0.032914325784241	0.0667691967626515	0
